,forecast,vix,close_ae,close_mse,close_ql,forecast_DR,actual_DR,DA_DR,forecast_IDR,actual_IDR,DA_IDR,close_err
2019-02-04,16.946716119778113,15.73,1.2167161197781127,1.4803981161279067,0.0028456806607526364,0.048773412968655394,-0.02573094577161635,0,0.013468468153902739,-0.06103589058636901,0,1.2167161197781127
2019-02-05,17.43354086852576,15.57,1.8635408685257602,3.4727845686657446,0.006637916063329419,0.10282626976606876,-0.010223731224279503,0,0.09901915856870448,-0.014030842421643638,0,1.8635408685257602
2019-02-06,18.59953379009045,15.38,3.21953379009045,10.36539782553418,0.019263944826087176,0.17779052951021448,-0.012278021768409008,0,0.18617497075949146,-0.0038935805191320986,0,3.21953379009045
2019-02-07,19.096390901060225,16.37,2.726390901060224,7.43320734538398,0.01249904086195297,0.2164313950605887,0.062382427305545586,1,0.1983896685754296,0.044340700820386575,1,2.726390901060224
2019-02-08,21.42386805840146,15.72,5.70386805840146,32.534110827652434,0.05326963620171643,0.26905523895837824,-0.04051660438198309,0,0.24253168292089758,-0.06704016041946363,0,5.70386805840146
2019-02-11,18.564813775599514,15.97,2.5948137755995138,6.733058530041004,0.011924417523002218,0.1663342696377058,0.01577817522586049,1,0.13811038304975062,-0.012445711362094517,0,2.5948137755995138
2019-02-12,18.191030063483833,15.43,2.761030063483833,7.62328701146154,0.014324131268490081,0.1302166567088113,-0.03439829585185171,0,0.17766145202866207,0.013046499467998936,1,2.761030063483833
2019-02-13,15.498177662108342,15.65,0.15182233789165878,0.023050022282889007,4.7362306933917964e-05,0.004408780451656649,0.014157250611092754,1,0.0024664036674501445,0.012214873826886262,1,-0.15182233789165878
2019-02-14,15.362866026599685,16.22,0.8571339734003143,0.7346786483570107,0.0014474834022004668,-0.01851761639901911,0.03577413170110465,0,-0.015958433940197487,0.03833331415992621,0,-0.8571339734003143
2019-02-15,16.883477573775505,14.91,1.9734775737755044,3.8946137341948512,0.008055970974080617,0.040090436665635235,-0.08421291991061974,0,0.0037668308080999625,-0.12053652576815495,0,1.9734775737755044
2019-02-19,12.397758984379065,14.88,2.482241015620936,6.161520459630855,0.015685027638092874,-0.18451639956496446,-0.002014099371701145,1,-0.23295518777447966,-0.05045288758121636,1,-2.482241015620936
2019-02-20,12.552273367360241,14.02,1.4677266326397582,2.154221468160044,0.005895025381316588,-0.17011623542231194,-0.059533147798501836,1,-0.17280080079298085,-0.0622177131691708,1,-1.4677266326397582
2019-02-21,10.222768885210597,14.46,4.237231114789404,17.95412752013946,0.05373754312000001,-0.31586740542247843,0.030901335124174777,0,-0.31443985343129294,0.03232888711536007,0,-4.237231114789404
2019-02-22,12.267937430309294,13.51,1.242062569690706,1.5427194270266797,0.00450447231287554,-0.1643970707272496,-0.06795606475851125,1,-0.1643970707272496,-0.06795606475851125,1,-1.242062569690706
2019-02-25,10.378155987740225,14.85,4.4718440122597745,19.9973888699836,0.057162376879558385,-0.26372694052280726,0.09456971327660123,0,-0.29290479448605133,0.06539185931335714,0,-4.4718440122597745
2019-02-26,13.977903632188355,15.17,1.1920963678116454,1.4210937501497178,0.003259532939996257,-0.060522094466474,0.021319928111732247,0,-0.08118260943199108,0.0006594131462153741,0,-1.1920963678116454
2019-02-27,13.847024263991125,14.7,0.8529757360088741,0.7275676062198805,0.001751578548661925,-0.09124943839712472,-0.03147229957575032,1,-0.1147032821972795,-0.05492614337590512,1,-0.8529757360088741
2019-02-28,10.770842493167375,14.78,4.009157506832624,16.07334391459238,0.04517661916073612,-0.3110047797550478,0.005427421735365015,0,-0.3424770793307981,-0.026044877840385148,1,-4.009157506832624
