,forecast-5d,vix,close_ae,close_mse,close_ql,forecast_5DR,actual_5DR,DA_5DR,forecast_I5DR,actual_I5DR,DA_I5DR,close_err
2017-06-06,10.817269462430882,10.45,0.3672694624308832,0.13488685803426995,0.0006035001630737558,0.03837699872430239,0.0038350957839424884,1,0.06860845750396609,0.03406655456360627,1,0.3672694624308832
2017-06-07,10.839949739033804,10.39,0.4499497390338032,0.2024547676565876,0.0009114841364461501,0.09171421374563239,0.04931965947651522,1,0.0395113230550324,-0.0028832312140848037,0,0.4499497390338032
2017-06-08,10.496819008825167,10.16,0.3368190088251666,0.11344704470596764,0.0005376596729782523,0.0738049747141732,0.04119115714058014,1,0.0405189970807066,0.007905179507113247,1,0.3368190088251666
2017-06-09,10.395208196246276,10.7,0.30479180375372295,0.09289804363544796,0.00041357655544538297,0.031784242877857784,0.06068303473738941,1,0.03079168696510632,0.05969047882463793,1,-0.30479180375372295
2017-06-12,10.599476214403538,11.46,0.8605237855964631,0.7405011855772676,0.0029687895581047563,0.014202607750787402,0.09226073287577373,1,0.0393977389269738,0.11745586405196028,1,-0.8605237855964631
2017-06-13,10.852291001947199,10.42,0.43229100194719905,0.18687551036451325,0.0008374868306388894,0.04353240483903107,0.0028832312140847135,1,0.034907531057270985,-0.005741642567675283,0,0.43229100194719905
2017-06-14,10.820163904635331,10.64,0.1801639046353305,0.032459032533448465,0.0001417601112589928,0.0629529794559761,0.046162041763162624,1,0.05218439766584514,0.03539345997303147,1,0.1801639046353305
2017-06-15,10.672623805855924,10.9,0.2273761941440764,0.05169993366344472,0.0002206478997870409,-0.0025618014301710154,0.01851904776723753,0,0.07212146198060815,0.09320231117801689,1,-0.2273761941440764
2017-06-16,11.031558379407748,10.38,0.6515583794077475,0.4245283217764503,0.0018913257041379694,-0.038102602469968924,-0.09898183354885091,1,-0.01426041350720923,-0.07513964458609122,1,0.6515583794077475
2017-06-19,11.547463766244302,10.37,1.177463766244303,1.3864209208182188,0.005996400798321755,0.1027387891915966,-0.0048100140837849205,0,0.03772053669438111,-0.06982826658100039,0,1.177463766244303
2017-06-20,10.865113398187454,10.86,0.0051133981874542656,2.6146841023460567e-05,1.108136558070072e-07,0.02093656675722201,0.02046583059229104,1,0.05050476753917333,0.05003403137424209,1,0.0051133981874542656
2017-06-21,10.989762874222423,10.75,0.23976287422242315,0.057486235855397506,0.0002450860782732267,0.008201402443781687,-0.013857034661426241,0,-0.006370804415309047,-0.028429241520517023,1,0.23976287422242315
2017-06-22,11.144773817417033,10.48,0.6647738174170321,0.44192422832321354,0.001930622960886197,0.07108979436001468,0.009587801155153392,1,0.047290479743900854,-0.014211513460960471,0,0.6647738174170321
2017-06-23,10.78381190561116,10.02,0.7638119056111599,0.5834086271533514,0.0027657167209025335,0.0391290897893063,-0.034333926584717185,0,0.02002631214859605,-0.05343670422542761,0,0.7638119056111599
2017-06-26,10.75224511256827,9.9,0.8522451125682693,0.726321731896502,0.0035055415976299464,-0.009971734056989139,-0.09255155736524501,1,0.04491432042178121,-0.03766550288647467,0,0.8522451125682693
2017-06-27,11.067100388001673,11.06,0.007100388001672897,5.0415509774300434e-05,2.0598618233336197e-07,0.02907102359958541,0.028429241520517047,1,0.0033579449078461983,0.002716162828777683,1,0.007100388001672897
2017-06-28,10.999617181765464,10.03,0.9696171817654644,0.9401574791748016,0.004391834506094927,0.04839179164219762,-0.043888076919052,0,0.017388838883976736,-0.0748910296772728,0,0.9696171817654644
2017-06-29,10.825193440453193,11.44,0.6148065595468069,0.37798710566178134,0.0014980103067199213,0.07729304785999583,0.13253289029493306,1,0.05459843793229731,0.10983828036723454,1,-0.6148065595468069
2017-06-30,10.518617665227834,11.18,0.6613823347721652,0.43742659274868045,0.001822036888855072,0.06061204089145656,0.1215917105864088,1,0.03764547977140883,0.09862514946636101,1,-0.6613823347721652
2017-07-03,10.428882385964954,11.22,0.7911176140350467,0.6258670792365051,0.0026091993450385598,-0.05875588661339787,0.014362904000361623,0,0.038001995217207825,0.11112078583096723,1,-0.7911176140350467
2017-07-05,11.193680082468633,11.07,0.12368008246863305,0.015296762799447871,6.195187724777895e-05,0.10976873871124516,0.09865814474670148,1,0.0021177276039800407,-0.008992866360563838,0,0.12368008246863305
2017-07-06,10.5255622361343,12.54,2.0144377638656987,4.057959504488236,0.014475767947692786,-0.0833091886998092,0.09180754925312269,0,0.0724453407094236,0.24756207866235563,1,-2.0144377638656987
2017-07-07,11.462151599482352,11.19,0.2721515994823527,0.0740664931008029,0.00029104511507549446,0.024923974582998713,0.0008940545968807142,1,-0.023951372089998674,-0.04798129207611662,1,0.2721515994823527
2017-07-10,11.316311396665414,11.11,0.20631139666541465,0.04256439239403407,0.00017031501587894127,0.008547271229265381,-0.009852296443011707,0,0.022006424603270083,0.003606856930993063,1,0.20631139666541465
2017-07-11,11.359408587673684,10.89,0.46940858767368354,0.22034442218180225,0.0009031394566885176,0.025807604273023883,-0.016393809775676383,0,0.014132572692520617,-0.028068841356179656,0,0.46940858767368354
2017-07-12,11.271790348581478,10.3,0.971790348581477,0.9443764815961084,0.004189297654025648,-0.10662036009102788,-0.19677963996918438,1,0.006389396812697809,-0.08376988306545859,0,0.971790348581477
2017-07-13,12.260830565372325,9.9,2.360830565372325,5.5735209583962115,0.024592816851058963,0.09138915184164377,-0.12248576518328959,0,-0.01771768877580395,-0.23159260580073743,1,2.360830565372325
2017-07-14,11.393375930183147,9.51,1.8833759301831474,3.547104894393236,0.01735338182990942,0.025186524112985394,-0.15550172709423965,0,0.011775505052979696,-0.1689127461542454,0,1.8833759301831474
2017-07-17,11.339387433470566,9.82,1.5193874334705662,2.308538172988274,0.010862614967458661,0.04043734168322865,-0.10342381457849466,0,0.049662499358054446,-0.0941986569036687,0,1.5193874334705662
2017-07-18,11.190142558257921,9.89,1.300142558257921,1.6903706717934512,0.007951202939754154,0.08288936679779219,-0.04061974960096937,0,0.030868182046913814,-0.09264093435184778,0,1.300142558257921
2017-07-19,10.788357766194641,9.79,0.9983577661946423,0.9967182293211562,0.004871188384895753,0.08593281093471561,-0.011173300598125302,0,0.06890686134478888,-0.028199250188052014,0,0.9983577661946423
2017-07-20,10.501971876324301,9.58,0.9219718763243012,0.8500321407329526,0.004353790230366306,0.09921916071956127,0.007333715425470193,1,0.04001820291134261,-0.05186724238274836,0,0.9219718763243012
2017-07-21,10.222607800124008,9.36,0.8626078001240085,0.7440922168347814,0.00400252491539832,0.040180596212429524,-0.047975831876873924,0,0.04528525252411278,-0.0428711755651907,0,0.8626078001240085
2017-07-24,10.406092961060402,9.43,0.9760929610604023,0.9527574686316641,0.0050139281976213645,0.05086735060319823,-0.047628048989254705,0,0.05390532762327522,-0.04459007196917786,0,0.9760929610604023
2017-07-25,10.44179005537897,9.43,1.0117900553789703,1.0237191161637798,0.005374877335716732,0.06445457245747123,-0.037465359897052845,0,0.07472160309721534,-0.027198329257308675,0,1.0117900553789703
2017-07-26,10.369588630778937,9.6,0.7695886307789372,0.5922666606241994,0.003051228555075225,0.07919976030875202,0.002085506491021361,1,0.07088370406709471,-0.006230549750636086,0,0.7695886307789372
2017-07-27,10.2236429346711,10.11,0.1136429346711001,0.012914716600659924,6.270659438212256e-05,0.08825768230567818,0.07707974254287932,1,0.07130812399190499,0.060130184229106105,1,0.1136429346711001
2017-07-28,10.067565262592526,10.29,0.22243473740747355,0.04947721240553171,0.00023706106452991982,0.06542279957945647,0.08727645320059207,1,0.01275187555633987,0.03460552917747552,1,-0.22243473740747355
2017-07-31,10.099492345589706,10.26,0.1605076544102939,0.02576270712429434,0.00012365907383804497,0.0685890631257297,0.08435674309725735,1,0.0717754704951377,0.08754315046666512,1,-0.1605076544102939
2017-08-01,10.089254150699926,10.09,0.0007458493000740418,5.56291178420938e-07,2.7321922502210327e-09,0.04970781350640572,0.04978173589172702,1,0.08684736045586224,0.08692128284118372,1,-0.0007458493000740418
2017-08-02,10.192139297000024,10.28,0.08786070299997562,0.007719503131649924,3.673301032103282e-05,0.00809173299210252,0.016675226994638952,1,0.08838175116522987,0.09696524516776661,1,-0.08786070299997562
2017-08-03,10.525284511945678,10.44,0.08528451194567843,0.007273447977812567,3.318579174838021e-05,0.02260786137096973,0.014472032608534469,1,-0.008958604596864775,-0.017094433359300068,1,0.08528451194567843
2017-08-04,10.647272495059635,10.03,0.6172724950596358,0.3810253331571481,0.0018194680098850835,0.03705091586237593,-0.022672237768779396,0,0.011075429459115386,-0.04864772417203992,0,0.6172724950596358
2017-08-07,10.630090071293994,9.93,0.7000900712939941,0.4901261079244298,0.0023743372313256295,0.052143831263258465,-0.015984356308436365,0,0.042281818394142676,-0.025846369177552234,0,0.7000900712939941
2017-08-08,10.511184304078567,10.96,0.448815695921434,0.2014355289054411,0.0008620822132532346,0.02223960206048841,0.06405202149285062,1,0.04188659944428481,0.08369901887664705,1,-0.448815695921434
2017-08-09,10.62672024224896,11.11,0.48327975775104015,0.23355932425190407,0.0009744686430308569,0.01772702440360647,0.06220102119704595,1,0.014857581975653466,0.05933157876909295,1,-0.48327975775104015
2017-08-10,10.725429910125717,16.04,5.314570089874282,28.244655240186333,0.07113575369998348,0.06703694689706677,0.4695050004645242,1,0.023148869978014776,0.4256169235454722,1,-5.314570089874282
2017-08-11,10.447103722354058,15.51,5.062896277645942,25.632918718201136,0.0687323220488163,0.0507643061833918,0.4459244991313662,1,0.02491793700583963,0.420078129953814,1,-5.062896277645942
