,HAR-n,HAR-ged,HAR-ss,HAR-st,HAR-E-n,HAR-E-ged,HAR-E-ss,HAR-E-st,M1-n,M2-n,M3-n,M4-n,M8-n,M9-n,M1-E-n,M2-E-n,M3-E-n,M4-E-n,M8-E-n,M9-E-n,M1-st,M2-st,M3-st,M4-st,M8-st,M1-E-st,M2-E-st,M3-E-st,M8-E-st,M1-ged,M2-ged,M3-ged,M4-ged,M5-ged,M6-ged,M7-ged,M8-ged,M1-E-ged,M2-E-ged,M3-E-ged,M4-E-ged,M5-E-ged,M6-E-ged,M7-E-ged,M8-E-ged
M6-ged,1.279854229,0.389823565,-2.447514405,-2.021174033,1.255787567,1.17822422,1.278674381,1.207051459,1.409857723,1.439785578,1.386990857,1.631718369,1.930177681,1.195601111,1.161652937,0.952723251,1.761469743,1.883545654,1.746174347,1.263170204,-1.894071786,-1.866555828,1.42032064,1.144095468,-0.124090273,1.465061652,-20.06982245,-3.855161199,1.867737657,1.186713968,-1.584886866,1.622242458,1.812167094,0.582998296,,,,,,,,,,,
M7-ged,1.391906138,0.691175719,-2.33686323,-1.739750032,1.376903562,1.409791115,1.380941453,1.379977251,1.52187154,1.588743613,1.407768773,1.657264506,2.034025695,1.282831717,1.277389729,1.035373374,1.827378305,1.973998308,1.868515426,1.380456351,-1.603310923,-1.723298492,1.414329876,1.026289199,-0.158037745,1.63197615,-20.06982245,-3.863988627,2.043042348,1.897220643,-1.420701194,1.657656818,1.860383905,1.278362656,-0.235713352,,,,,,,,,,
M8-ged,0.36486725,-2.678378298,-2.564207669,-2.405123588,0.446004861,-0.367373563,0.634792581,0.069343994,0.604902715,0.306889158,1.189961707,1.393959057,1.540005134,0.297281916,0.297509524,0.131291518,1.47360673,1.516529819,1.275538548,0.476201688,-2.378720518,-2.148730855,0.697579853,-0.176133433,-1.769686081,0.577613882,-20.06982245,-3.922576713,1.281595882,-2.471975537,-2.092027926,1.195905794,1.197325629,-2.649177374,-2.617626075,-2.641729889,,,,,,,,,
M1-E-ged,0.590474684,-1.547280874,-2.197275525,-1.681770962,0.874450778,-1.702656383,1.099202059,0.002573382,1.016088191,0.435329681,1.264445871,1.468961203,2.053866265,0.417034849,0.542556058,0.16186243,1.737004882,1.886734949,1.989958066,0.913952364,-1.620304012,-1.690406699,0.539445671,-0.151350755,-0.970188722,1.702765325,-20.06982245,-3.950727978,2.437010639,-1.411313323,-1.544636422,1.194490382,1.1042284,-1.579334592,-1.372582569,-1.594252816,-0.082562031,,,,,,,,
M2-E-ged,1.052652581,-1.64035371,-2.303826473,-1.782912265,1.127942935,0.772850852,1.199157226,1.003895676,1.254111054,1.232849151,1.309541136,1.531107579,1.918952697,0.91773548,0.975751904,0.684311907,1.721589697,1.859467392,1.786691736,1.142128215,-1.692856854,-1.79315368,0.95294761,0.324476473,-0.743350639,1.44360801,-20.06982245,-3.904869002,1.975423794,-1.208678683,-1.660905341,1.396142256,1.483068035,-1.688731779,-1.307991677,-1.749311156,1.018643037,1.248636271,,,,,,,
M3-E-ged,-1.831870812,-1.888517224,-2.253856477,-1.914138099,-1.679526258,-1.894094536,-1.391775674,-1.84196392,-1.601469272,-1.646807215,0.981044609,1.110152982,-0.259775805,-1.913482783,-1.801708352,-1.877010382,1.494173644,0.472519119,-0.556535087,-1.649065039,-1.876173807,-1.880780711,-1.318073824,-1.365724507,-1.579722614,-1.515218073,-20.06982245,-4.09853258,-1.02956669,-1.835447298,-1.813888087,-0.481118511,-1.056811941,-1.905044493,-1.810066929,-1.903441534,-1.424932474,-1.754729092,-1.760027548,,,,,,
M4-E-ged,-1.969736405,-2.023334878,-2.31032024,-1.991972023,-1.677116754,-2.080656419,-1.150638995,-1.989477183,-1.627401345,-1.788379186,1.002930794,1.203616077,0.346698322,-2.064437311,-1.846280778,-1.83952122,1.374885599,1.464050166,-0.037215592,-1.61357934,-1.953191858,-1.941663144,-1.019921122,-1.332482399,-1.609654097,-1.533443144,-20.06982245,-4.052953535,-0.771119122,-1.971711102,-1.894584512,0.121971898,-0.786946116,-2.047672781,-1.917711461,-2.043014764,-1.447794423,-1.906497823,-1.905267064,0.972130761,,,,,
M5-E-ged,1.057387237,-1.341798092,-2.185143873,-1.606467108,1.274864475,1.184313028,1.34073158,1.309429284,1.317151205,1.068839822,1.326792828,1.547142625,2.123027697,0.854392447,1.054812565,0.630114563,1.826647721,1.99792965,2.066411186,1.290156292,-1.524916788,-1.644012696,0.79776221,0.100846302,-0.784977103,1.780823946,-20.06982245,-3.931605218,2.484399539,-1.096728769,-1.457731785,1.374097836,1.37542115,-1.360471882,-1.165481332,-1.402255848,0.428967674,1.775883171,-0.716856759,1.901302489,2.087876872,,,,
M6-E-ged,1.029292694,-1.365189672,-2.184317624,-1.612015111,1.259514475,-2.037417848,1.327207534,1.250510206,1.300578695,1.023698008,1.320447319,1.53931277,2.125348896,0.82027605,1.027345553,0.588383061,1.821255679,1.993829268,2.072366989,1.27567595,-1.531920992,-1.648200257,0.762758113,0.065386997,-0.806808213,1.755440806,-20.06982245,-3.934369517,2.48711667,-1.13467449,-1.468179589,1.352722275,1.343106341,-1.383417821,-1.191405167,-1.424733111,0.350485229,1.663837384,-0.802555676,1.889679681,2.075961487,-1.439736468,,,
M7-E-ged,1.154451093,-1.250806599,-2.185643473,-1.583644192,1.344077897,1.66799407,1.386401384,1.452292486,1.377084728,1.215849119,1.341795721,1.564279691,2.116639225,0.954963566,1.156175208,0.753496576,1.837410382,2.005832164,2.057170962,1.361046115,-1.495571356,-1.630810576,0.881040798,0.198295631,-0.712543941,1.80043353,-20.06982245,-3.923359346,2.437883495,-0.955807982,-1.427533466,1.418884012,1.447246681,-1.259645094,-1.078599846,-1.315947073,0.638386375,1.831804452,-0.405708307,1.91854088,2.101590658,1.653208212,1.728824049,,
M8-E-ged,-1.611141071,-2.108787737,-2.319078327,-1.984256423,-1.380238099,-2.660016458,-0.448735795,-2.692953015,-1.035562314,-1.547904788,1.046979767,1.180066194,1.408690051,-1.627513331,-1.679413646,-1.57243363,1.362594565,1.316738952,1.151006389,-1.249974851,-1.944155538,-1.923001241,-0.283881665,-0.88018461,-1.519542196,-1.813360829,-20.06982245,-4.00982348,1.159429054,-2.062093051,-1.872885309,0.573888175,0.156681449,-2.160913559,-1.939046146,-2.137921114,-1.300118973,-2.595930779,-2.063059313,1.142798308,0.989633137,-2.659251181,-2.656720727,-2.594813746,
