,Date_min,Min_val,Date_max,Max_val,Skew,Kurtosis,ADF
4,2020-03-16,-26.49128839889868,2020-03-13,12.241837160128851,-4.891494022744566,47.867096877523025,1.6162612645170815e-09
5,2020-03-16,-27.126628271983638,2020-03-13,12.743854730508886,-4.926167748550849,48.71588065964877,2.3726606892013546e-09
0,2020-03-16,-28.07900242572171,2020-03-13,11.903224284776671,-5.24545459023073,51.40460513228765,1.9406350993881512e-08
1,2020-03-16,-29.122897429586736,2020-03-13,11.286443842487841,-5.464018804353801,54.24508619215707,4.260431992827498e-08
2,2020-03-16,-26.513039736060254,2020-03-13,9.818971471341328,-4.9336089540378225,45.98546794927415,6.190781824058214e-08
3,2020-03-16,-27.08580894540725,2020-03-13,10.07377014094483,-5.070285471379535,48.46204026566545,4.691584828000795e-08
4,2020-03-16,-28.18362038182054,2020-03-13,11.942210233094515,-5.2410374481474085,51.3423909045031,1.628530036191391e-08
5,2020-03-16,-28.33440501440477,2020-03-13,11.518056948754962,-5.323431640832467,52.02848976294079,3.2251428137525546e-08
6,2020-03-16,-28.25758928775421,2020-03-13,11.939608625378115,-5.252001701852518,51.51951772648498,2.2143865855568256e-08
7,2020-03-16,-27.78189541289906,2020-03-13,11.205133576765478,-5.287830882116492,51.24911859608602,2.7983055856492463e-08
0,2020-03-16,-28.88975190563025,2020-03-13,10.637040097897467,-5.535901499244443,53.718674688559794,2.1371413036375218e-07
1,2020-03-16,-29.758268954493538,2020-03-13,10.498776090820543,-5.6512146262505,55.66664616983278,1.9751202411106607e-07
2,2020-03-16,-27.1749028868677,2020-03-13,9.23683925499654,-5.161824519266148,47.98909775132562,2.411961916754382e-07
3,2020-03-16,-27.911870824670917,2020-03-13,8.760722403383582,-5.418765796007233,51.322923986812626,2.6301460092283613e-07
4,2020-03-16,-28.405755388269604,2020-03-13,10.136050607634887,-5.511061563471719,53.02667575151464,1.8015474117741058e-07
5,2020-03-16,-29.095445721804232,2020-03-13,10.696196043008783,-5.537333062370101,53.8362618369279,2.1217742210033474e-07
0,2020-03-16,-27.309097320591412,2020-03-13,13.447606949202225,-4.848883198078176,48.443279181406155,7.600508662377704e-10
1,2020-03-16,-27.34436748714248,2020-03-13,13.80305676625494,-4.7741020879856135,47.96584453620424,5.473811111871329e-10
2,2020-03-16,-25.872072894094128,2020-03-13,11.650161678626276,-4.683492233545592,44.64383867358403,2.154031345726106e-09
3,2020-03-16,-26.430227624020503,2020-03-13,11.558098399923095,-4.8618232850068015,46.98893086340418,2.1018721002540327e-09
4,2020-03-16,-26.61354050881464,2020-03-13,13.05072621868372,-4.813825757486696,47.5914348900682,4.919082837600283e-10
5,2020-03-16,-27.156496651150213,2020-03-13,13.418356474371322,-4.820065818954007,48.16108374117277,5.820462072712799e-10
0,2020-03-16,-27.460065378555196,2020-03-13,12.859782797261502,-5.011677753383377,49.47846136998333,2.6050654124565453e-09
1,2020-03-16,-28.001488795182503,2020-03-13,12.367874137131109,-5.1620261957882905,51.08156475005804,4.991660961894613e-09
2,2020-03-16,-26.47087691161269,2020-03-13,11.624778945818749,-4.825441246839794,46.085862787102585,4.792752459342981e-09
3,2020-03-16,-26.81531807051916,2020-03-13,11.622956931647508,-4.916635195883048,47.558770492881756,3.543747422267681e-09
4,2020-03-16,-27.710931765394808,2020-03-13,12.814531311331125,-5.032589228581431,49.70065787298627,2.9337791171081344e-09
5,2020-03-16,-27.691995446053205,2020-03-13,12.841460396079993,-5.024384263294607,49.663668975914234,2.753495863597e-09
6,2020-03-16,-27.795679541896266,2020-03-13,12.786752167773345,-5.044244902077153,49.85931088974053,3.4605493299401793e-09
7,2020-03-16,-27.07370859085127,2020-03-13,12.525012639695518,-4.975968735169488,48.75234862422393,1.7025573143797044e-09
0,2020-03-16,-27.110763421429557,2020-03-13,13.085068114350634,-4.93970073804566,48.81127775399043,1.2189720870260743e-09
1,2018-01-09,261512206.6743213,2020-03-30,1564145770.8625078,2.8695934033271673,9.071416611009635,0.0853237974997666
2,2018-02-05,-20.623976027763227,2020-03-23,37.90633599181996,2.810575373091618,22.702297509936066,1.7216590360316437e-10
3,2020-03-16,-26.955531965420136,2020-03-13,12.712053069820255,-4.927377977497208,48.35682590547899,9.842157457144983e-10
